马来西亚,my,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/my.yaml,Asia/Kuala_Lumpur,English,1.554,103.7098,是,40%
越南,vn,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/vn.yaml,Asia/Bangkok,English,21.0184,105.8461,是,27%
菲律宾,ph,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/ph.yaml,Asia/Manila,English,14.6475,121.0494,是,40%
泰国,th,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/th.yaml,Asia/Bangkok,English,13.7101,100.4543,是,35%
印度,in,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/in.yaml,Asia/Kolkata,English,19.0748,72.8856,是,45%
中国台湾,tw,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/tw.yaml,Asia/Taipei,English,22.9917,120.2148,是,60%
日本,jp,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/jp.yaml,Asia/Tokyo,English,34.6657,135.5849,是,35%
韩国,kr,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/kr.yaml,Asia/Seoul,English,35.1995,129.0799,是,45%
科威特,kw,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/kw.yaml,Asia/Kuwait,English,29.3323,48.074,是,38%
阿曼,om,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/om.yaml,Asia/Muscat,English,23.578,58.4021,是,45%
卡塔尔,qa,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/qa.yaml,Asia/Baghdad,English,33,44,是,60%
孟加拉国,bd,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/bd.yaml,Asia/Dhaka,English,23.7018,90.3742,是,20%
巴基斯坦,pk,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/pk.yaml,Asia/Karachi,English,31.3709,73.0336,是,42%
印度尼西亚,id,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/id.yaml,Asia/Jakarta,English,-7.6928,110.6647,是,35%
中国香港,hk,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/hk.yaml,Asia/Hong_Kong,English,22.2578,114.1657,是,50%
约旦,jo,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/jo.yaml,Asia/Amman,English,31.9555,35.9435,是,50%
沙特阿拉伯,sa,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/sa.yaml,Asia/Riyadh,English,26.5651,50.0118,是,30%
土耳其,tr,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/tr.yaml,Europe/Istanbul,English,40.7782,30.4017,是,35%
缅甸,mm,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/mm.yaml,Asia/Yangon,English,21,96,是,30%
吉尔吉斯斯坦,kg,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/kg.yaml,Asia/Bishkek,English,42.8696,74.5932,是,40%
塔吉克斯坦,tj,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/tj.yaml,Asia/Dushanbe,English,39.0015,71.0042,是,45%
新加坡,sg,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/sg.yaml,Asia/Singapore,English,1.3248,103.8566,是,45%
伊拉克,iq,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/iq.yaml,Asia/Baghdad,English,36.1898,44.0157,是,30%
阿塞拜疆,az,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/az.yaml,Asia/Baku,English,40.3771,49.8875,是,45%
中国澳门,mo,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/mo.yaml,Asia/Macau,English,22.201,113.5559,是,25%
柬埔寨,kh,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/kh.yaml,Asia/Phnom_Penh,English,11.5583,104.9121,是,27%
文莱,bn,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/bn.yaml,Asia/Brunei,English,4.8852,114.9468,是,35%
以色列,il,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/il.yaml,Asia/Jerusalem,English,31.7674,35.2186,是,30%
老挝,la,https://raw.githubusercontent.com/heisiyyds999/clash-conf/refs/heads/master/proxys/la.yaml,Asia/Vientiane,English,17.9641,102.5987,是,35%
